"ID" "blockLog" "total_time" "p_opticflow" "duration_s" "duration"
"87" 37 3 44.4210000000196 "backward" 13.958000000006 31.4220751446385
"88" 37 3 44.4210000000196 "forward" 27.0300000000061 60.849598163018
"89" 38 6 44.4369999999908 "backward" 8.28699999999663 18.6488736863387
"90" 38 6 44.4369999999908 "forward" 14.5139999999956 32.6619708801192
"91" 38 8 44.1100000000224 "backward" 8.71000000000641 19.7460893221537
"92" 38 8 44.1100000000224 "forward" 12.4600000000064 28.2475629109047
"93" 39 1 44.080000000009 "backward" 25.179999999993 57.1234119781939
"94" 39 1 44.080000000009 "forward" 13.140999999996 29.8117059890955
"95" 39 7 44.1799999999712 "backward" 14.8689999999842 33.655500226333
"96" 39 7 44.1799999999712 "forward" 18.7539999999935 42.4490719782838
"97" 4 5 44.1209999999992 "backward" 17.5849999999991 39.8563042542088
"98" 4 5 44.1209999999992 "forward" 15.6909999999916 35.5635638357968
"99" 4 7 43.9350000000049 "backward" 14.7030000000086 33.4653465346693
"100" 4 7 43.9350000000049 "forward" 16.2209999999977 36.9204506657469
"101" 40 7 43.9619999999922 "backward" 16.2039999999979 36.8591055911941
"102" 40 7 43.9619999999922 "forward" 11.7319999999818 26.6866839542874
"103" 40 8 44.7400000000053 "backward" 8.08899999999994 18.0800178810885
"104" 40 8 44.7400000000053 "forward" 3.36899999999878 7.53017434063116
"105" 8 4 43.7969999999696 "backward" 14.6389999999956 33.4246637897704
"106" 8 4 43.7969999999696 "forward" 15.3919999999998 35.1439596319623
"107" 8 5 43.8839999999909 "backward" 19.1869999999981 43.7220854981361
"108" 8 5 43.8839999999909 "forward" 19.5430000000124 44.533315103492
