"ID" "blockLog" "total_time" "p_opticflow" "duration_s" "duration"
"1" 1 5 43.6380000000136 "backward" 13.9690000000119 32.011091250762
"2" 1 5 43.6380000000136 "forward" 12.2170000000115 27.9962418076165
"3" 1 6 43.9699999999939 "backward" 15.8610000000044 36.0723220377681
"4" 1 6 43.9699999999939 "forward" 16.7530000000042 38.1009779395192
"5" 10 3 43.7700000000099 "backward" 13.9660000000076 31.9076993374559
"6" 10 3 43.7700000000099 "forward" 16.802999999997 38.3893077450153
"7" 10 8 44.4889999999941 "backward" 18.7409999999945 42.1250196677763
"8" 10 8 44.4889999999941 "forward" 16.9849999999933 38.1779765784701
"9" 11 3 44.0360000000219 "backward" 14.7590000000128 33.5157598328763
"10" 11 3 44.0360000000219 "forward" 22.9850000000006 52.1959306022099
"11" 11 8 44.0889999999999 "backward" 14.1789999999819 32.1599491936354
"12" 11 8 44.0889999999999 "forward" 18.5690000000031 42.1170813581691
"13" 12 1 44.0859999999666 "backward" 14.028999999995 31.8218935716682
"14" 12 1 44.0859999999666 "forward" 23.0889999999927 52.3726353037476
"15" 12 5 43.8029999999504 "backward" 15.8320000000007 36.1436431295085
"16" 12 5 43.8029999999504 "forward" 1.541999999978 3.52030682825319
"17" 14 1 45.0420000000085 "backward" 0.39100000000326 0.868078682125985
"18" 14 1 45.0420000000085 "forward" 6.86499999999796 15.2413303139218
"19" 14 7 44.7079999999915 "backward" 0.281999999999243 0.630759595596531
"20" 14 7 44.7079999999915 "forward" 15.7589999999982 35.2487250603946
"21" 15 4 44.515999999996 "backward" 14.0559999999969 31.5751639859784
"22" 15 4 44.515999999996 "forward" 19.2199999999866 43.1754874651549
"23" 15 5 44.5019999999786 "backward" 15.1139999999941 33.9625185384958
"24" 15 5 44.5019999999786 "forward" 20.1489999999976 45.2766167812847
"25" 16 6 43.5279999999984 "backward" 14.6559999999954 33.6702811982998
"26" 16 6 43.5279999999984 "forward" 22.4370000000053 51.5461312258918
"27" 16 7 43.7599999999948 "backward" 21.3880000000063 48.875685557607
"28" 16 7 43.7599999999948 "forward" 13.3439999999973 30.4936014625204
"29" 17 1 43.592999999992 "backward" 13.7519999999917 31.5463491844888
"30" 17 1 43.592999999992 "forward" 16.2280000000028 37.2261601633422
"31" 17 2 43.7020000000164 "backward" 19.2210000000108 43.981968788622
"32" 17 2 43.7020000000164 "forward" 11.7120000000054 26.79968880143
"33" 18 2 44.673999999999 "backward" 0.772999999993772 1.73031293368355
"34" 18 2 44.673999999999 "forward" 1.03199999999197 2.31006849619911
"35" 20 3 44.0850000000646 "backward" 12.9830000000366 29.4499262788194
"36" 20 3 44.0850000000646 "forward" 23.3750000000291 53.0225700351477
"37" 20 8 44.1080000000074 "backward" 29.6729999999952 67.2735104742682
"38" 20 8 44.1080000000074 "forward" 11.2080000000133 25.4103563979581
"39" 21 5 44.0099999999511 "backward" 14.0040000000066 31.8200408998459
"40" 21 5 44.0099999999511 "forward" 19.6939999999886 44.7489206998647
"41" 21 8 44.0499999999884 "backward" 19.5390000000043 44.3564131668774
"42" 21 8 44.0499999999884 "forward" 15.4879999999976 35.1600454029549
"43" 22 3 44.5809999999911 "backward" 8.53299999999581 19.1404409950371
"44" 22 3 44.5809999999911 "forward" 10.8819999999905 24.4095018056856
"45" 22 4 44.4080000000104 "backward" 10.1789999999892 22.9215456674176
"46" 22 4 44.4080000000104 "forward" 19.1170000000057 43.0485498108476
"47" 23 2 43.1820000000007 "backward" 15.2079999999987 35.2183780278784
"48" 23 2 43.1820000000007 "forward" 16.1480000000229 37.3952109675852
"49" 23 7 43.6830000000046 "backward" 14.1840000000011 32.4702973696853
"50" 23 7 43.6830000000046 "forward" 17.5879999999961 40.2628024631876
"51" 25 6 44.764999999982 "forward" 0.534000000011292 1.19289623592429
"52" 25 7 44.2680000000051 "backward" 8.27000000000116 18.6816662148735
"53" 27 6 44.4630000000106 "backward" 10.1050000000032 22.7267615770434
"54" 27 6 44.4630000000106 "forward" 16.6710000000021 37.4940962148261
"55" 27 7 43.8470000000307 "backward" 16.1019999999989 36.7231509567078
"56" 27 7 43.8470000000307 "forward" 20.0050000000119 45.6245581225579
"57" 3 4 44.7329999999929 "backward" 6.93299999999727 15.4986251760409
"58" 3 4 44.7329999999929 "forward" 1.64199999999255 3.67066818678114
"59" 3 8 44.355999999991 "backward" 13.7109999999957 30.9112634141908
"60" 3 8 44.355999999991 "forward" 9.15200000000186 20.6330597889884
"61" 30 3 50.2459999999934 "backward" 13.7320000000327 27.3295386698136
"62" 30 3 50.2459999999934 "forward" 7.51900000000896 14.9643752736734
"63" 30 7 42.1009999999427 "backward" 7.83699999995006 18.6147597443308
"64" 30 7 42.1009999999427 "forward" 23.6500000000087 56.1744376619104
"65" 31 4 44.2339999999895 "backward" 14.0160000000033 31.6860333680124
"66" 31 4 44.2339999999895 "forward" 14.4959999999992 32.7711714970444
"67" 31 6 44.59800000002 "backward" 6.71699999999691 15.0612135073185
"68" 31 6 44.59800000002 "forward" 14.5080000000016 32.5306067536552
"69" 33 3 44.2659999999989 "backward" 21.1669999999925 47.8177382189334
"70" 33 3 44.2659999999989 "forward" 17.4919999999911 39.5156553562362
"71" 33 8 44.2860000000073 "backward" 20.1599999999962 45.5222869529713
"72" 33 8 44.2860000000073 "forward" 22.0180000000095 49.7177437565051
"73" 34 4 44.6170000000246 "backward" 12.8259999999922 28.7468901987698
"74" 34 4 44.6170000000246 "forward" 10.7540000000081 24.1029204115072
"75" 34 6 44.5260000000126 "backward" 12.2370000000083 27.4828190270961
